Comment	Comment Reply
Sir bilkul sahi bola aapane❤❤	Dhanyawad sir. 
Mal kitne tak ka milega	आप कम से कम २०,००० से २५,००० का कपडा मंगवा सकते है। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते है। धन्यवाद | 
👍🥇	Thanks! 
Thank you sir itni badhiya jankari dene ke liye jo ek business ko karne ya bada karne me bahut hi madad karegi so once again thanks	Most welcome. We are glad the information is helpful. For any further assistance, please feel free to ask. Thank you. 
Ishwar aapko hamesha khush aur lambi umar de aapko main apna chota bhai samajhati hu mere bhai ko bht tarakki de aap jo kar rahe hain nek kaam hai	आपकी शुभकामनाओ के लिए तहे दिल से शुक्रिया। धन्यवाद। 
Hello sir namaskar mein Nepal dekhra hu  kabhi chansh mile surat ahunga	हा जरूर, आपका स्वागत है। कभी मौका मिले तो जरूर आईयेगा, धन्यवाद। 
I love ajmera pheshn	Love you too, sir. 
Kese lena pade ga	आप ऑनलाइन ऑर्डर भी कर सकते हैं। आप कैसे परचेस कर सकते हैं, जानने के लिए संपर्क करें, धन्यवाद। 
Mujhe aap ka samjhane ka tarika bahut pasand hai	Dhanyawad sir 
I Love my Dream sar ji ❤❤	Bilkul hona chahiye! 
❤ok❤	Ok Thanks 
Very nice Awesome	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Cotten saree	किसी भी प्रोडक्ट्स की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Me asam se hu mal keise magaun	आप ऑनलाइन भी ऑर्डर कर सकते हैं। ऑनलाइन कैसे परचेस कर सकते हैं, जानने के लिए संपर्क करें। ऑर्डर कैसे प्लेस करें उसकी सारी जानकारी आपको मिल जाएगी। धन्यवाद। 
Sir ji sadi ke alava or kuch nhi rkh sakte kya..othar garment	जी, अजमेरा फैशन में आपको साड़ी, कुर्ती, लेहेंगा, गाउन, बॉटम वियर, टॉवल, अंडरगारमेंट्स, दुपट्टा, मेन्स वियर, किड्स वियर और अन्य चीज़ें भी मिल जाएंगी। धन्यवाद। 
I really love my dream ❤️	Bilkul hona chahiye. 
Men's wear ka video banaye sir,app bahut acchi jankari dete ho.	जी जरूर, हम वो वीडियो भी बनाएंगे, धन्यवाद। 
Sir Punjabi suits mil jaege	किसी भी प्रोडक्ट्स की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Very good 👍 sr	Thanks! 
Sir aap bahut achchhe tarike se samaj hate hai  I like you video sir	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद | 
AJMERA Fashion is Gr8. Neha Mam ,Thanks.	Most welcome. 
Ap bhaut mahan ho sir	नमस्ते, धन्यवाद। यदि आपको किसी भी प्रकार की जानकारी चाहिए, तो आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। 
Video bilkul bahut bahut achcha laga sir 🙏🏻💙	जी बहुत-बहुत धन्यवाद सर। 
Bahut sunder Anubhav dene ke Liye Aapka bahut bahut dhanywad ❤️ se abhar Aapka Sir ji Thank you thank you thank you 🙏🙏🙏	Most welcome. We are here to assist you further if you require any more information. Thank you. 
Apke yha koi col hi risiv nhi krta	आप किसी भी प्रकार की जानकारी के लिए संपर्क करें, धन्यवाद। 
Wahegur dono bhai ko din dugni rat chauguni taraki den Avtar singh Punjab se	जी, आपकी शुभकामनाओ के लिए खूब खूब आभार। धन्यवाद। 
Black navawari saree milegi jo thumbnail mein lagaya hai	किसी भी प्रोडक्ट्स की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद | 
Sar main kapde ka business karna chahta hun aur aapko video mein hamesha dekhte hain hamen Idea de ki shuruaat main kitne ka Mal kharidna padega	ये बहुत ख़ुशी की बात है कि आप कपड़ों का बिजनेस शुरू करना चाहते हैं. हम इस काम में आपकी भी पूरी मदद करेंगे. विस्तार से जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें. धन्यवाद! 
Qualitykaise hai in kapdo ke	किसी भी प्रोडक्ट्स की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Sir apka 1 dukaan Samastipur Bihar me v khuli hai na	हाँ जी सर, अगर आपको कोई और जानकारी चाहिए तो आप पूछ सकते हैं, धन्यवाद। 
Millenium 1 ya 2 me shop kare	आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
I❤my dreem. 🙏	Bilkul hona chahiye. 
Phli bar apki bat ne dil chu liya	Dhanyawad. 
Sir main wb berhampore se main 10/15 shop liya hu kids ka 0 - 15 sal ka bacha ka collection rakhunga. Ap k sath jurna chahta hu.	जी ज़रूर शुरू करे, हमे आपसे जुड़कर बेहद ख़ुशी होगी। अधिक जानकारी के लिए आप संपर्क कर सकते हैं, धन्यवाद। 
Sar mein murena jila se hun main Sadi ki dukaan kar na chahta hu dukaan hai chhote se kasbe mein redymet ki	जी ज़रूर, व्यवसाय की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Mens wear ka sir video daliye	जी जरूर, हम वो वीडियो भी बनाएंगे। धन्यवाद। 
सर मेरे पास 1 लाख हैं क्या मैं कपड़े का bussnes कर सकता हूं	हां, ज़रूर! आप अपना बिजनेस स्टार्ट कर सकते हैं। 
Sir vha se sadiya vgera khrid kr hme customers ko kitne me or kese bechna chahiye jisse profit achha mile plz btaiyega	मार्जिन कैसे सेट करे, उसकी जानकारी के लिए सम्पर्क करे, धन्यवाद | 
Bhothi badiya sir aapka bhothi dhanyvad mujee bhothi badiya tips lagi bar bar asi tips hamare liye thoda time nikalke bhejiyega sir	ऐसे ही और किसी भी प्रकार की जानकारी के लिए धन्यवाद। 
ऐस	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Nice advice. Thanks sir ❤	Most welcome. 
Kya mai ab business kar sakti hu is baar husband shayad help na kare wo bohat darte hai business se naukri Me hi khush hai but mai apne baccho k liye business karna chahti hu taki mai unhe kuch dekar ja saku	हां, जरूर आप अपना बिजनेस स्टार्ट करें, आपको हमारा पूरा सपोर्ट मिलेगा। आप बिजनेस की जानकारी के लिए हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Sir me bed sheet ka kaam karna chata hu	जी जरूर, हम आपकी सहायता कर सकते हैं। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Sir ka m milega	काम मिलने का वादा तो नहीं कर सकते, लेकिन बिज़नेस की सारी जानकारी आपको बिना काम करे ही मिल जाएगी। अधिक जानकारी के लिए धन्यवाद। 
Bahut achcha	Dhanyawad sir. 
Y	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Ham bajar me dukan karna chahte hai kitna tak kharch aayega	बाजार में दुकान करने के लिए आपके खर्च की जानकारी के लिए, आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क कर सकते हैं। धन्यवाद। 
Hii sir ji mai Chhattisgarh Korba ki hu business karna chahti hun online magavana chahti hun lekin sir ji starting magvane se dar lagta hai ki fraud na ho please sir help kijiye	नमस्ते, अगर आप नया बिजनेस शुरू कर रही हैं तो हम आपको यही सुझाव देंगे कि आप यहां खुद आकर सब देखें और फिर खरीदें। अगर किसी वजह से आप नहीं आ सकती हैं तो आप ऑनलाइन भी मंगवा सकती हैं। आपको आपके माल की पूरी गारंटी मिलेगी। धन्यवाद। 
Sir I am from west Bengal  I can I cont with you?	जी ज़रूर, आप हमसे बात कर सकते है। आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Aapka goal wala point or bhagwan me vishwas wali baat mujhe bohat acchi lagi	Ji, bahut bahut dhanyavad sir. 
Sir kya signal pic sarii mil sakta hai please reply	No, sir. We only sell wholesale. 
Very nice sir ji ❤❤❤❤	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद | 
Sir  में ट्रक  ड्राइवर हूं और गांव से हूं दुकान करना चाहता हूं मुझे इस काम मे कोई जानकारी नहीं है क्या मे ये काम कर पाऊंगा	हां, जरूर आप अपना बिजनेस शुरू करें। हम आपको बिजनेस की पूरी जानकारी देंगे। बिजनेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
Thankyou  sir ❤❤❤❤❤❤❤ aapko	Most welcome. 
Sir, main Mumbai se hu. Cotton sarees ka business karna chahta hu. Retail shop karna chahta hu.	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते है। मिनिमम आर्डर की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क करे, धन्यवाद | 
Bahut bahut acchi line	Thanks. 
Sir mujhe business karna h chota hi sahi par karna h	जी जरूर, बिजनेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
आप पिता नहीं एक भगवान के रूप में पिता मिल गए sir 😮😮😮😮😮	यह तो आपका बड़प्पन है, जो आपने मुझे इतना उचा दर्जा दिया। मैं आपकी सफलता की कामना करता हूँ। किसी भी प्रकार की जानकारी के लिए संपर्क करें, धन्यवाद। 
Happy Bday sir .. unknowingly i got kids wear collection from your ajmeea fashion  today itself...	Thank you so much! We appreciate your feedback. 
सर बहोत अच्छे तरीके से बताया बहोत शुक्रीया	धन्यवाद, आपको यह जानकारी अच्छी लगी। आगे भी हम आपके लिए ऐसे ही जानकारीपूर्ण वीडियो लाते रहेंगे। 
❤❤❤❤supar	Thanks. 
i like you. SIR I'm your  favourite	🙏😇 
Garba ke ghagre hai kya aapke pass	हमारे पास गरबा के घागरे उपलब्ध हैं। अधिक जानकारी के लिए, कृपया हमारे सेल्स एग्जीक्यूटिव से संपर्क करें। धन्यवाद। 
👏👏👍👍	Thanks. 
Adress please	Ajmera Fashion Limited., G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002. धन्यवाद | 
sir जी नमस्कार मैं ट्रक ड्राइवर हूं और मैं 5 लाख की कर्ज में डूबा हूं जहां भी काम किया फायदा नहीं हुई सिर्फ कर्ज में डूबते जा रहा हु और मैं ड्राइविंग काम से बहुत परेशान हूं इस कम को छोड़ना चाहता हूं धंधा शुरू करने के लिए मेरे पास पैसे भी नहीं है।कोई अच्छा सा रोजगार बताए sir please 🙏	हम आपको नौकरी दिलाने का वादा तो नहीं कर सकते, लेकिन बिजनेस की सारी जानकारी आपको बिना काम किए ही मिल जाएगी। अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Hello sir aap bhut ache hai	Dhanyawad. 
Chandrika dixit	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir minimum kitna RS se suru ki jai	मिनिमम आर्डर की जानकारी के लिए आप हमारी सेल्स एग्जीक्यूटिव टीम से संपर्क करें, धन्यवाद | 
Sir meri bhi ak chhoti si dukan h kapde ki aapse milna mera ak sapna bn chuka h sir lekin mere pas jyada paisa na hone ki wajah se may apke dukan nhi aa pa rhi hu lekin ak na ak din may jaroor visit kroogi apki dukan	हाउसवाइफ होना तो बोहोत गर्व की बात है। आप चाहे तो क्या नहीं कर सकती है। वो कहते है न "महिलाएं क़ीमती सामान अब खुद खरीद सकती है"। ऑनलाइन कैसे परचेस कर सकते है, जानने के लिए संपर्क करे, धन्यवाद | 
Sir.my.aapkeshop.aaugi.aapka.milna.muje	जी ज़रूर, आपका हार्दिक स्वागत है। हमारी सेल्स एग्जीक्यूटिव टीम आपकी सहायता करेगी। धन्यवाद। 
Sir mujhe ek job ki need hai kya job mil skti Kyu mere pass utna Fund nhi hai ki business me invest karu  Aap se kuchh sikh ko bhi mil jayega	हम काम दिलाने का वादा तो नहीं कर सकते, लेकिन बिज़नेस की सारी जानकारी आपको बिना काम करे ही मिल जाएगी। धन्यवाद। 
❤ I love my dream sir ..❤..😊	Bilkul hona chahiye. 
मैं भी बिजनेस करना चाहता हूं सर मेरा घर है बिहार	जी जरूर, बिजनेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Namaste from nepal tailor channel	नमस्ते, आपको पूरी जानकारी मिल जाएगी। 
Sir me aap ka video hamesha dekhta hu bahut kuch seekhne ko milta hai 🎉	जी जरूर, और किसी भी प्रकार की जानकारी के लिए संपर्क करें, धन्यवाद। 
Sir me Maharashtra se hu humesha apke video dekhti hu	Ji bahut bahut dhanyavad. 
अजमेरा भाई मानव सेवा आप दोनो कर रहे है l आपका आय का ज़रिया तो समझ में आता है लेकिन पोपट भाई का आय का ज़रिया पता नहीं लगा l क्यूँ की दुनियाँ की सेवा के साथ अपना खुद का भी परिवार रिश्ते नाते पड़ोसी होते है सब को निभाने के लिये खुद का आय का ज़रिया होना ज़रूरी है l याने पैसा तो खुदा नहीं है पर बहुत कुछ है l उसके बिना कुछ भी होना मुश्किल है l business के लिए आप से अवश्य सम्पर्क करूँगा l मेरे पास दुकान वग़ैरह कुछ नहीं है ना ही पूँजी है l लेकिन business से लगाओ है l और मै ऐसा ही प्लेट फ़ार्म ढूँढ रहा था सो ऊपर वाले ने सून ली l	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते है। मिनिमम आर्डर की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क करे, धन्यवाद। 
जय ब्राह्मण देवता नमस्कार	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
राधे राधे झारखंड का रहने वाली हूं जामताड़ा जिला मैं अपना खुद का बिजनेस शुरू करना चाहती हूं लेकिन मेरे पास पैसे कम है 10 से 15000 क्या मैं उसमें काम कर सकती हूं सही रास्ता दिखाइए	आप कम से कम 20,000 से 25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Patanahi kaise kar lete hai...sala idhar to dar hi laga rehta hai..kya higa..kab paisa doob jaye...these people are great	नमस्ते, आपकी प्रतिक्रिया के लिए धन्यवाद। 
Sar aap great hai	Thanks. 
Aaka video mai up ayodhya se dekhta 🎉 raha hoon . Apka har ek video bahut achhi lagti hai.❤❤❤❤❤	Ji, bahut-bahut dhanyavaad. 
Kaha pass hai sir	Ajmera Fashion Limited., G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002. Thank you. 
पर आपका कपड़ा हम नेपाल में कैसे खरीदे समझ में नहीं आ रहा है मेरा बुटीक है और बूटी के लिए वहां से ड्रेस लेना चाहते हैं	आप ऑनलाइन भी आर्डर कर सकते है। ऑनलाइन कैसे परचेस कर सकते है, जानने के लिए संपर्क करे, धन्यवाद | 
सर आपके बात सुनकर बिजनेस क्षेत्र नयी जानकारी देने के लिए  धन्यवाद सर जी आपको  जनत  आशीर्वाद सदैव मिलत रहे?  जय श्री राम. .....	आपको हमारा पूरा सहयोग मिलेगा, आप कम से कम रकम से भी यह बिज़नेस शुरू कर सकते हैं। धन्यवाद। 
Yes sir you are right	Thanks. 
Sar Bihar se hun mujhe bhi kapde ka business karna hai nolej nahi he kapreka	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते है। मिनिमम आर्डर की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क कर सकते है। धन्यवाद। 
Kurti Jada sale hai ❤	किसी भी प्रोडक्ट्स की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Jai shree krishna	Jai shree krishna 
Born baby items	किसी भी प्रोडक्ट्स की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Hi sir me savita mare village mae khud ki dukan hai mae apke pass kaise au or aap say contact karna chati hu	जी ज़रूर, आप छोटी से छोटी रकम से भी अपना कारोबार शुरू कर सकते है। मिनिमम आर्डर की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव टीम से संपर्क करे, धन्यवाद। 
નડિયાદ માં કેટલા દિવસ માં ઓર્ડર ડીલીવર કરી આપી શકો છો?	नडियाद में ऑर्डर डिलीवरी की जानकारी के लिए, आप हमसे संपर्क कर सकते हैं. धन्यवाद. 
आप की ये  बात अच्छी लगी❤❤❤❤❤	Ji, bahut-bahut dhanyavaad! 
Yes Sir,why not	नमस्ते, जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
अजमेरा  सर जी मुझे भी डाटाबेस चाहिए अपने  B 2 B  बिजनस के लिए। कैसे हो पाएगा।	बिज़नेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
😘🎂Happy Birthday to you ajay sir🎂🥰🎊	Thank you so much sir. 
Good Marketing	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद | 
New Harshad	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir kya aap what's up pe bhi photo dal sakte hai	जी जरूर, अधिक जानकारी के लिए आप संपर्क कर सकते हैं, धन्यवाद। 
Jaisa.nam.vaisa.kam........AJAY.ji.ko.bhagvan.lambhi.AAU.pradan.kare......yhi.prathana....	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद | 
Sir सच है की आप हमारे गुरु जैसे है मैं एक प्रोफेसर हैं लेकीन बहुत दीन मैं आपके व्हिडिओ dekhati है मेरा भी पार्ट टाईम लेडीज मॉल सिर्फ चार घंटे खोलती है लेकीन बहुत अच्छा काम आता है आपका हर शब्द, हर व्हिडिओ  थॅन्क्स सर  जी	Most welcome. We appreciate your feedback and are glad our videos are helpful to you. Thank you! 
Sir mai Bihar buxar se	नमस्ते, आपकी जानकारी के लिए धन्यवाद। 
Sir mujhe business krni h kapdo ki but kyse aay aapke yaha or km se km kitne rupya ki lagat se khol skte h busness please batayiy sir kyse aapse contect hoga🙏	आप कम से कम 20,000 से 25,000 का कपड़ा मंगवा सकते हैं। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mujhe suit ka business krna he uski video bnao pls	जी जरूर, हम वो वीडियो भी बनाएंगे, धन्यवाद। 
❤❤ i am rady	नमस्ते, आपकी रूचि के लिए धन्यवाद। हम आपकी सहायता के लिए यहां हैं। 
बहुत ही सुंदर जानकारी ❤	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद | 
Jay Shri Krishna sar ji	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Me bihar se hu mujhe bhi business karna hai	जी ज़रूर, बिज़नेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Cost please 🙏	नमस्ते, किसी भी प्रकार की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🙏🙏🙏	Dhanyawad sir 
Haa .	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
I love u may mom	❤️😊 
Please  over Huckaback towels also as we need 1000 pieces of 100 cm long x50 cm width in white cotton	किसी भी प्रोडक्ट्स की जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
सर आप हमे जो जानकारी दे रहे है आपका बहुत अभिनंदन सर हमे आपका मोबाईल नंबर बेजो तो🎉🎉,हमे बिजनस करना है	जी धन्यवाद आपका। वीडियो में नीचे जानकारी दी हुई है। बिजनेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Hello Ajay Sir namaste, if you make arrangements to bring goods from Surath to Nepal, it will be very easy for us to start a new business. Please let me know about this. I am waiting for the reply. Thank you.	Yes, definitely. Please contact us for complete information. 
Sir mera gharse business hai saree ka Muze rate fix rakhna chahiye ya discount Dena chahiye  Samaz nai aata Coustomer kaise patega ya impress hoga bataeye please	बिजनेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
અજયભાઈ ખુબ ખુબ અભિનંદન.	Thank you so much sir. 
And sir MA Abhi 18+ hu par mujhe bussines karna ha	हाँ जरूर, अधिक जानकारी के लिए आप हमसे संपर्क कर सकते हैं, धन्यवाद। 
Welcome sir bhagal pur	जी शुक्रिया, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद | 
Congratulations sir ji 🎉🎉🎉❤❤	Thank you so much sir. 
SIR WHAT IS COST OF THIS    SAREE.	साड़ी की कीमत जानने के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Sir mai yah business karna chahta hu kam kam kitne rs. se shuru kar sakte hai	आप कम से कम २०,००० से २५,००० का कपडा मंगवा सकते है। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Superb concept 🎉nice video for customer happy rakshabandhan 🎉	Thanks! Same to you. 
चोटी रकम कीतनी होती है सर जी कम से कम	आप कम से कम २०,००० से २५,००० का कपडा मंगवा सकते है। अधिक जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir ji me jammu se hu muje new Shop kholne hai kea phle apke pass anaa padega	आप अपनी नई शॉप ओपन कीजिए। ज्यादा जानकारी के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
सर एक बार कोलकाता की जो टेस्ट है साड़ी में इसी के ऊपर एक वीडियो देखना चाहते है	जी जरूर, हम वो वीडियो भी बनाएंगे, धन्यवाद। 
25000 se business karna chahta hun sir	जी जरूर, अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
How to open uttar Pradesh	ज़रूर, अधिक जानकारी के लिए संपर्क करें, धन्यवाद। 
Jhansi up	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Very good points .all point have value.	जी शुक्रिया, आपकी प्रतिक्रिया के लिए धन्यवाद। 
❤❤❤ sir Mera state UP district Kasganj	नमस्ते, आपकी जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Sir surat aana hi jaruri h kya online maal nhi bhej sakte kya	जी, आप ऑनलाइन भी माल मंगवा सकते हैं। अधिक जानकारी के लिए संपर्क करें। धन्यवाद। 
Well-done Neha.	Thanks. 
Radhe Radhe Ajay sar mai Phone lagati hun per phone nahi uth raha hai mujhe baat karni hai Shop ke bare mein	राधे राधे, अजय जी। यदि आपको बात करनी है, तो कृपया संपर्क करने का प्रयास करते रहें। धन्यवाद। 
टॅक्स. Ok	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Good Arjun	Thanks for your comment! 
Sir hume bissness karna hai saree kurti ka mai parayraj se hu	जी ज़रूर, बिज़नेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Good idiya	Thanks. 
SIR YOUR'S BUSINESS ATTITUDE IS VERY SOFT I LIKE   NOW IM YOUR FAN SIR  FROM HYDERABAD TELANGANA   B H E L  i think the cost of lehanga is Rs 9000 nine thousand Rs.	किसी भी प्रोडक्ट्स के प्राइस के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद | 
Dulhan wali Sadi ka price kya hai sir	किसी भी प्रोडक्ट्स के प्राइस के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करें, धन्यवाद। 
Sir m Hariyana yamuna nagar jile se hu mujhe Hariyana BB ke hisab se suit dikho sir please 🙏 ap reply jrur dena	हरियाणा के लिए सूट देखने के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं। धन्यवाद। 
Gadarwara narshingpur  se bhai	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Builty aane ke bad Uttar Pradesh mein kitne din bad Mal pahunchta hai sar please reply	आपकी जानकारी के लिए, कृपया हमें बताएं कि आप किस उत्पाद के बारे में पूछ रहे हैं। धन्यवाद। 
Y  E  S	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Noorjahan     Karnataka.   Raichur.     Village  kallur	नमस्ते, किसी भी प्रकार की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Ajay Ji Bhai Sahab Jay Siyaram aap bolate bahut achcha hai	जी, बहुत-बहुत धन्यवाद सर। 
namaste sir good video very nice talking your sir jee good goo jee        any answer is good good reply good reply jee	Thank you so much, sir. 
Sir ji aap ki.  shop kaha hai	Surat. Where are you from? 
I LOVE MY DREAM❤😂	Bilkul hona chahiye. 
Sir hm chota Shop open lr skte hai ajmera ka	जी, आप छोटा शॉप शुरू कर सकते हैं। बिज़नेस की जानकारी के लिए आप हमारे सेल्स एग्जीक्यूटिव से संपर्क कर सकते हैं, धन्यवाद। 
Address or price bataiye please??	किसी भी प्रोडक्ट्स के प्राइस के लिए, आप हमारे सेल्स एग्जीक्यूटिव से संपर्क करे। धन्यवाद | Ajmera Fashion Limited., G-1, Ground Floor, Surana 101, Sahara Darwaja, Ring Road, Surat, Gujarat - 395002 किसी भी प्रकार की जानकारी के लिए संपर्क करे, धन्यवाद | 
mashallah sir Ajay sir subscriber unko unke channel ko karenge	जी शुक्रिया, और किसी भी प्रकार की जानकारी के लिए धन्यवाद। 
thank you sir aap bahut Achcha samjhate Ho ❤	Most welcome. Thank you. 
